bookmaker,ev,impl_prb,label,league,line,market,odds,subject,true_prb
BetMGM,0.0082,0.5128,Over,NBA,9.5,Rebounds,1.95,Jalen Johnson,0.5170393123087205
SugarHouse,0.0082,0.4854,Under,NBA,14.5,Rebounds + Assists,2.06,Scottie Barnes,0.48941998866427355
ESPNBet,0.0082,0.5128,Over,NBA,9.5,Rebounds,1.95,Jalen Johnson,0.5170393123087205
BetRivers,0.0082,0.4854,Under,NBA,14.5,Rebounds + Assists,2.06,Scottie Barnes,0.48941998866427355
Bovada,0.0082,0.4762,Over,NBA,33.5,Points + Rebounds + Assists,2.1,Donovan Mitchell,0.4801012935131748
Unibet,0.0082,0.4854,Under,NBA,14.5,Rebounds + Assists,2.06,Scottie Barnes,0.48941998866427355
DraftKings,0.0081,0.4878,Under,NBA,2.5,3-Pointers,2.05,Cade Cunningham,0.49173782100410957
SugarHouse,0.008,0.5051,Over,NBA,15.5,Points,1.98,Dillon Brooks,0.5091158417668268
Unibet,0.008,0.5051,Over,NBA,15.5,Points,1.98,Dillon Brooks,0.5091158417668268
BetRivers,0.008,0.5051,Over,NBA,15.5,Points,1.98,Dillon Brooks,0.5091158417668268
HardRock,0.0074,0.5747,Under,NBA,10.5,Rebounds + Assists,1.74,Jaren Jackson Jr.,0.5789717461787866
SugarHouse,0.0074,0.5291,Under,NBA,1.5,Blocks,1.89,Alexandre Sarr,0.5330188679245282
BetRivers,0.0074,0.5291,Under,NBA,1.5,Blocks,1.89,Alexandre Sarr,0.5330188679245282
Unibet,0.0074,0.5291,Under,NBA,1.5,Blocks,1.89,Alexandre Sarr,0.5330188679245282
DraftKings,0.0074,0.5747,Under,NBA,10.5,Rebounds + Assists,1.74,Jaren Jackson Jr.,0.5789717461787866
Unibet,0.0071,0.4762,Under,NBA,4.5,Rebounds,2.1,Fred VanVleet,0.4795614826164494
SugarHouse,0.0071,0.4762,Under,NBA,4.5,Rebounds,2.1,Fred VanVleet,0.4795614826164494
BetRivers,0.0071,0.4762,Under,NBA,4.5,Rebounds,2.1,Fred VanVleet,0.4795614826164494
HardRock,0.0065,0.5128,Under,NBA,32.5,Points + Assists,1.95,Jalen Brunson,0.5161649944258639
BetMGM,0.0065,0.4878,Under,NBA,11.5,Rebounds + Assists,2.05,De'Aaron Fox,0.4909554730983302
DraftKings,0.0065,0.4878,Under,NBA,11.5,Rebounds + Assists,2.05,De'Aaron Fox,0.4909554730983302
HardRock,0.0065,0.4878,Under,NBA,11.5,Rebounds + Assists,2.05,De'Aaron Fox,0.4909554730983302
ESPNBet,0.0065,0.4878,Under,NBA,11.5,Rebounds + Assists,2.05,De'Aaron Fox,0.4909554730983302
Bovada,0.0065,0.4878,Under,NBA,11.5,Rebounds + Assists,2.05,De'Aaron Fox,0.4909554730983302
BetMGM,0.0065,0.5128,Under,NBA,32.5,Points + Assists,1.95,Jalen Brunson,0.5161649944258639
HardRock,0.0062,0.4651,Over,NBA,3.5,Rebounds,2.15,Mikal Bridges,0.46798782771767977
