bookmaker,ev,impl_prb,label,league,line,market,odds,subject,true_prb
Pinnacle,-0.0708,0.48780487804878053,Over,NBA,9.5,Assists,2.05,Nikola Jokic,0.45324760092768757
ESPNBet,-0.0708,0.48780487804878053,Over,NBA,9.5,Assists,2.05,Nikola Jokic,0.45324760092768757
BetMGM,-0.0708,0.48780487804878053,Over,NBA,9.5,Assists,2.05,Nikola Jokic,0.45324760092768757
Pinnacle,-0.0708,0.48780487804878053,Over,NBA,9.5,Assists,2.05,Nikola Jokic,0.45324760092768757
Pinnacle,-0.071,0.5208333333333334,Under,NFL,15.5,Total Receiving Yards,1.92,Cole Kmet,0.48387096774193555
Bovada,-0.0724,0.53475935828877,Under,NBA,38.5,Points + Rebounds + Assists,1.87,Cade Cunningham,0.4960212201591513
Bovada,-0.0724,0.53475935828877,Under,NBA,38.5,Points + Rebounds + Assists,1.87,Cade Cunningham,0.4960212201591513
Pick6,-0.0726,0.5747126436781609,Under,NBA,16.5,Points + Rebounds,1.74,Jaden McDaniels,0.5329815303430079
Pick6,-0.0726,0.5747126436781609,Under,NBA,16.5,Points + Rebounds,1.74,Jaden McDaniels,0.5329815303430079
BetMGM,-0.0729,0.6666666666666666,Under,NHL,2.5,Total Shots on Goal,1.5,Mikael Granlund,0.6180904522613065
ESPNBet,-0.0729,0.6666666666666666,Under,NHL,2.5,Total Shots on Goal,1.5,Mikael Granlund,0.6180904522613065
ESPNBet,-0.0729,0.6666666666666666,Under,NHL,2.5,Total Shots on Goal,1.5,Mikael Granlund,0.6180904522613065
BetMGM,-0.0729,0.6666666666666666,Under,NHL,2.5,Total Shots on Goal,1.5,Mikael Granlund,0.6180904522613065
HardRock,-0.0737,0.5555555555555556,Over,NBA,53.5,Points + Rebounds + Assists,1.8,Nikola Jokic,0.5145888594164455
BetMGM,-0.0737,0.5555555555555556,Over,NBA,53.5,Points + Rebounds + Assists,1.8,Nikola Jokic,0.5145888594164455
BetMGM,-0.0737,0.5555555555555556,Over,NBA,53.5,Points + Rebounds + Assists,1.8,Nikola Jokic,0.5145888594164455
Unibet,-0.0753,0.5050505050505051,Over,NBA,16.5,Points + Rebounds,1.98,Jaden McDaniels,0.467018469656992
SugarHouse,-0.0753,0.5050505050505051,Over,NBA,16.5,Points + Rebounds,1.98,Jaden McDaniels,0.467018469656992
BetRivers,-0.0753,0.5050505050505051,Over,NBA,16.5,Points + Rebounds,1.98,Jaden McDaniels,0.467018469656992
BetRivers,-0.0753,0.5050505050505051,Over,NBA,16.5,Points + Rebounds,1.98,Jaden McDaniels,0.467018469656992
Unibet,-0.0753,0.5050505050505051,Over,NBA,16.5,Points + Rebounds,1.98,Jaden McDaniels,0.467018469656992
SugarHouse,-0.0753,0.5050505050505051,Over,NBA,16.5,Points + Rebounds,1.98,Jaden McDaniels,0.467018469656992
SugarHouse,-0.0756,0.5208333333333334,Over,NBA,39.5,Points + Rebounds + Assists,1.92,Cade Cunningham,0.4814814814814815
BetRivers,-0.0756,0.5208333333333334,Over,NBA,39.5,Points + Rebounds + Assists,1.92,Cade Cunningham,0.4814814814814815
Unibet,-0.0756,0.5208333333333334,Over,NBA,39.5,Points + Rebounds + Assists,1.92,Cade Cunningham,0.4814814814814815
SugarHouse,-0.0756,0.5208333333333334,Over,NBA,39.5,Points + Rebounds + Assists,1.92,Cade Cunningham,0.4814814814814815
Unibet,-0.0756,0.5208333333333334,Over,NBA,39.5,Points + Rebounds + Assists,1.92,Cade Cunningham,0.4814814814814815
BetRivers,-0.0756,0.5208333333333334,Over,NBA,39.5,Points + Rebounds + Assists,1.92,Cade Cunningham,0.4814814814814815
